Pinyin	Bopomofo	IPA	Wade-Giles	GR	Simp.GR	MPS2	Tongyong	Yale
ā	ㄚ	a˥	a¹	a	a	ā	a	ā
á	ㄚˊ	a˧˥	a²	ar	ar	á	á	á
ǎ	ㄚˇ	a˨˩˦	a³	aa	aa	ǎ	ǎ	ǎ
à	ㄚˋ	a˥˩	a⁴	ah	ah	à	à	à
a	˙ㄚ	a	a⁵	.a	'a	a	å	a
āi	ㄞ	aɪ˥	ai¹	ai	ai	āi	ai	āi
ái	ㄞˊ	aɪ˧˥	ai²	air	air	ái	ái	ái
ǎi	ㄞˇ	aɪ˨˩˦	ai³	ae	aii	ǎi	ǎi	ǎi
ài	ㄞˋ	aɪ˥˩	ai⁴	ay	aih	ài	ài	ài
ai	˙ㄞ	aɪ	ai⁵	.ai	'ai	ai	åi	ai
ān	ㄢ	an˥	an¹	an	an	ān	an	ān
án	ㄢˊ	an˧˥	an²	arn	arn	án	án	án
ǎn	ㄢˇ	an˨˩˦	an³	aan	aan	ǎn	ǎn	ǎn
àn	ㄢˋ	an˥˩	an⁴	ann	ahn	àn	àn	àn
an	˙ㄢ	an	an⁵	.an	'an	an	ån	an
āng	ㄤ	ɑŋ˥	ang¹	ang	ang	āng	ang	āng
áng	ㄤˊ	ɑŋ˧˥	ang²	arng	arng	áng	áng	áng
ǎng	ㄤˇ	ɑŋ˨˩˦	ang³	aang	aang	ǎng	ǎng	ǎng
àng	ㄤˋ	ɑŋ˥˩	ang⁴	anq	ahng	àng	àng	àng
ang	˙ㄤ	ɑŋ	ang⁵	.ang	'ang	ang	ång	ang
āo	ㄠ	ɑʊ˥	ao¹	au	au	āu	ao	āu
áo	ㄠˊ	ɑʊ˧˥	ao²	aur	aur	áu	áo	áu
ǎo	ㄠˇ	ɑʊ˨˩˦	ao³	ao	aau	ǎu	ǎo	ǎu
ào	ㄠˋ	ɑʊ˥˩	ao⁴	aw	auh	àu	ào	àu
ao	˙ㄠ	ɑʊ	ao⁵	.au	'au	au	åo	au
bā	ㄅㄚ	pa˥	pa¹	ba	ba	bā	ba	bā
bá	ㄅㄚˊ	pa˧˥	pa²	bar	bar	bá	bá	bá
bǎ	ㄅㄚˇ	pa˨˩˦	pa³	baa	baa	bǎ	bǎ	bǎ
bà	ㄅㄚˋ	pa˥˩	pa⁴	bah	bah	bà	bà	bà
ba	˙ㄅㄚ	pa	pa⁵	.ba	'ba	ba	bå	ba
bāi	ㄅㄞ	paɪ˥	pai¹	bai	bai	bāi	bai	bāi
bái	ㄅㄞˊ	paɪ˧˥	pai²	bair	bair	bái	bái	bái
bǎi	ㄅㄞˇ	paɪ˨˩˦	pai³	bae	baii	bǎi	bǎi	bǎi
bài	ㄅㄞˋ	paɪ˥˩	pai⁴	bay	baih	bài	bài	bài
bai	˙ㄅㄞ	paɪ	pai⁵	.bai	'bai	bai	båi	bai
bān	ㄅㄢ	pan˥	pan¹	ban	ban	bān	ban	bān
bán	ㄅㄢˊ	pan˧˥	pan²	barn	barn	bán	bán	bán
bǎn	ㄅㄢˇ	pan˨˩˦	pan³	baan	baan	bǎn	bǎn	bǎn
bàn	ㄅㄢˋ	pan˥˩	pan⁴	bann	bahn	bàn	bàn	bàn
ban	˙ㄅㄢ	pan	pan⁵	.ban	'ban	ban	bån	ban
bāng	ㄅㄤ	pɑŋ˥	pang¹	bang	bang	bāng	bang	bāng
báng	ㄅㄤˊ	pɑŋ˧˥	pang²	barng	barng	báng	báng	báng
bǎng	ㄅㄤˇ	pɑŋ˨˩˦	pang³	baang	baang	bǎng	bǎng	bǎng
bàng	ㄅㄤˋ	pɑŋ˥˩	pang⁴	banq	bahng	bàng	bàng	bàng
bang	˙ㄅㄤ	pɑŋ	pang⁵	.bang	'bang	bang	bång	bang
bāo	ㄅㄠ	pɑʊ˥	pao¹	bau	bau	bāu	bao	bāu
báo	ㄅㄠˊ	pɑʊ˧˥	pao²	baur	baur	báu	báo	báu
bǎo	ㄅㄠˇ	pɑʊ˨˩˦	pao³	bao	baau	bǎu	bǎo	bǎu
bào	ㄅㄠˋ	pɑʊ˥˩	pao⁴	baw	bauh	bàu	bào	bàu
bao	˙ㄅㄠ	pɑʊ	pao⁵	.bau	'bau	bau	båo	bau
bēi	ㄅㄟ	peɪ˥	pei¹	bei	bei	bēi	bei	bēi
béi	ㄅㄟˊ	peɪ˧˥	pei²	beir	beir	béi	béi	béi
běi	ㄅㄟˇ	peɪ˨˩˦	pei³	beei	beii	běi	běi	běi
bèi	ㄅㄟˋ	peɪ˥˩	pei⁴	bey	beih	bèi	bèi	bèi
bei	˙ㄅㄟ	peɪ	pei⁵	.bei	'bei	bei	be̊i	bei
bēn	ㄅㄣ	pən˥	pen¹	ben	ben	bēn	ben	bēn
bén	ㄅㄣˊ	pən˧˥	pen²	bern	bern	bén	bén	bén
běn	ㄅㄣˇ	pən˨˩˦	pen³	been	been	běn	běn	běn
bèn	ㄅㄣˋ	pən˥˩	pen⁴	benn	behn	bèn	bèn	bèn
ben	˙ㄅㄣ	pən	pen⁵	.ben	'ben	ben	be̊n	ben
bēng	ㄅㄥ	pɤŋ˥	peng¹	beng	beng	bēng	beng	bēng
béng	ㄅㄥˊ	pɤŋ˧˥	peng²	berng	berng	béng	béng	béng
běng	ㄅㄥˇ	pɤŋ˨˩˦	peng³	beeng	beeng	běng	běng	běng
bèng	ㄅㄥˋ	pɤŋ˥˩	peng⁴	benq	behng	bèng	bèng	bèng
beng	˙ㄅㄥ	pɤŋ	peng⁵	.beng	'beng	beng	be̊ng	beng
bī	ㄅㄧ	pi˥	pi¹	bi	bi	bī	bi	bī
bí	ㄅㄧˊ	pi˧˥	pi²	byi	bir	bí	bí	bí
bǐ	ㄅㄧˇ	pi˨˩˦	pi³	bii	bii	bǐ	bǐ	bǐ
bì	ㄅㄧˋ	pi˥˩	pi⁴	bih	bih	bì	bì	bì
bi	˙ㄅㄧ	pi	pi⁵	.bi	'bi	bi	bi̊	bi
biān	ㄅㄧㄢ	pjɛn˥	pien¹	bian	bian	biān	bian	byān
bián	ㄅㄧㄢˊ	pjɛn˧˥	pien²	byan	biarn	bián	bián	byán
biǎn	ㄅㄧㄢˇ	pjɛn˨˩˦	pien³	bean	biaan	biǎn	biǎn	byǎn
biàn	ㄅㄧㄢˋ	pjɛn˥˩	pien⁴	biann	biahn	biàn	biàn	byàn
bian	˙ㄅㄧㄢ	pjɛn	pien⁵	.bian	'bian	bian	biån	byan
biāo	ㄅㄧㄠ	pjɑʊ˥	piao¹	biau	biau	biāu	biao	byāu
biáo	ㄅㄧㄠˊ	pjɑʊ˧˥	piao²	byau	biaur	biáu	biáo	byáu
biǎo	ㄅㄧㄠˇ	pjɑʊ˨˩˦	piao³	beau	biaau	biǎu	biǎo	byǎu
biào	ㄅㄧㄠˋ	pjɑʊ˥˩	piao⁴	biaw	biauh	biàu	biào	byàu
biao	˙ㄅㄧㄠ	pjɑʊ	piao⁵	.biau	'biau	biau	biåo	byau
biē	ㄅㄧㄝ	pjɛ˥	pieh¹	bie	bie	biē	bie	byē
bié	ㄅㄧㄝˊ	pjɛ˧˥	pieh²	bye	bier	bié	bié	byé
biě	ㄅㄧㄝˇ	pjɛ˨˩˦	pieh³	biee	biee	biě	biě	byě
biè	ㄅㄧㄝˋ	pjɛ˥˩	pieh⁴	bieh	bieh	biè	biè	byè
bie	˙ㄅㄧㄝ	pjɛ	pieh⁵	.bie	'bie	bie	bie̊	bye
bīn	ㄅㄧㄣ	pin˥	pin¹	bin	bin	bīn	bin	bīn
bín	ㄅㄧㄣˊ	pin˧˥	pin²	byn	birn	bín	bín	bín
bǐn	ㄅㄧㄣˇ	pin˨˩˦	pin³	biin	biin	bǐn	bǐn	bǐn
bìn	ㄅㄧㄣˋ	pin˥˩	pin⁴	binn	bihn	bìn	bìn	bìn
bin	˙ㄅㄧㄣ	pin	pin⁵	.bin	'bin	bin	bi̊n	bin
bīng	ㄅㄧㄥ	piŋ˥	ping¹	bing	bing	bīng	bing	bīng
bíng	ㄅㄧㄥˊ	piŋ˧˥	ping²	byng	birng	bíng	bíng	bíng
bǐng	ㄅㄧㄥˇ	piŋ˨˩˦	ping³	biing	biing	bǐng	bǐng	bǐng
bìng	ㄅㄧㄥˋ	piŋ˥˩	ping⁴	binq	bihng	bìng	bìng	bìng
bing	˙ㄅㄧㄥ	piŋ	ping⁵	.bing	'bing	bing	bi̊ng	bing
bō	ㄅㄛ	po˥	po¹	bo	bo	bō	bo	bwō
bó	ㄅㄛˊ	po˧˥	po²	bor	bor	bó	bó	bwó
bǒ	ㄅㄛˇ	po˨˩˦	po³	boo	boo	bǒ	bǒ	bwǒ
bò	ㄅㄛˋ	po˥˩	po⁴	boh	boh	bò	bò	bwò
bo	˙ㄅㄛ	po	po⁵	.bo	'bo	bo	bo̊	bwo
bū	ㄅㄨ	pu˥	pu¹	bu	bu	bū	bu	bū
bú	ㄅㄨˊ	pu˧˥	pu²	bwu	bur	bú	bú	bú
bǔ	ㄅㄨˇ	pu˨˩˦	pu³	buu	buu	bǔ	bǔ	bǔ
bù	ㄅㄨˋ	pu˥˩	pu⁴	buh	buh	bù	bù	bù
bu	˙ㄅㄨ	pu	pu⁵	.bu	'bu	bu	bů	bu
cā	ㄘㄚ	t͡sʰa˥	ts'a¹	tsa	tsa	tsā	ca	tsā
cá	ㄘㄚˊ	t͡sʰa˧˥	ts'a²	tsar	tsar	tsá	cá	tsá
cǎ	ㄘㄚˇ	t͡sʰa˨˩˦	ts'a³	tsaa	tsaa	tsǎ	cǎ	tsǎ
cà	ㄘㄚˋ	t͡sʰa˥˩	ts'a⁴	tsah	tsah	tsà	cà	tsà
ca	˙ㄘㄚ	t͡sʰa	ts'a⁵	.tsa	'tsa	tsa	cå	tsa
cāi	ㄘㄞ	t͡sʰaɪ˥	ts'ai¹	tsai	tsai	tsāi	cai	tsāi
cái	ㄘㄞˊ	t͡sʰaɪ˧˥	ts'ai²	tsair	tsair	tsái	cái	tsái
cǎi	ㄘㄞˇ	t͡sʰaɪ˨˩˦	ts'ai³	tsae	tsaii	tsǎi	cǎi	tsǎi
cài	ㄘㄞˋ	t͡sʰaɪ˥˩	ts'ai⁴	tsay	tsaih	tsài	cài	tsài
cai	˙ㄘㄞ	t͡sʰaɪ	ts'ai⁵	.tsai	'tsai	tsai	cåi	tsai
cān	ㄘㄢ	t͡sʰan˥	ts'an¹	tsan	tsan	tsān	can	tsān
cán	ㄘㄢˊ	t͡sʰan˧˥	ts'an²	tsarn	tsarn	tsán	cán	tsán
cǎn	ㄘㄢˇ	t͡sʰan˨˩˦	ts'an³	tsaan	tsaan	tsǎn	cǎn	tsǎn
càn	ㄘㄢˋ	t͡sʰan˥˩	ts'an⁴	tsann	tsahn	tsàn	càn	tsàn
can	˙ㄘㄢ	t͡sʰan	ts'an⁵	.tsan	'tsan	tsan	cån	tsan
cāng	ㄘㄤ	t͡sʰɑŋ˥	ts'ang¹	tsang	tsang	tsāng	cang	tsāng
cáng	ㄘㄤˊ	t͡sʰɑŋ˧˥	ts'ang²	tsarng	tsarng	tsáng	cáng	tsáng
cǎng	ㄘㄤˇ	t͡sʰɑŋ˨˩˦	ts'ang³	tsaang	tsaang	tsǎng	cǎng	tsǎng
càng	ㄘㄤˋ	t͡sʰɑŋ˥˩	ts'ang⁴	tsanq	tsahng	tsàng	càng	tsàng
cang	˙ㄘㄤ	t͡sʰɑŋ	ts'ang⁵	.tsang	'tsang	tsang	cång	tsang
cāo	ㄘㄠ	t͡sʰɑʊ˥	ts'ao¹	tsau	tsau	tsāu	cao	tsāu
cáo	ㄘㄠˊ	t͡sʰɑʊ˧˥	ts'ao²	tsaur	tsaur	tsáu	cáo	tsáu
cǎo	ㄘㄠˇ	t͡sʰɑʊ˨˩˦	ts'ao³	tsao	tsaau	tsǎu	cǎo	tsǎu
cào	ㄘㄠˋ	t͡sʰɑʊ˥˩	ts'ao⁴	tsaw	tsauh	tsàu	cào	tsàu
cao	˙ㄘㄠ	t͡sʰɑʊ	ts'ao⁵	.tsau	'tsau	tsau	cåo	tsau
cē	ㄘㄜ	t͡sʰɤ˥	ts'e¹	tse	tse	tsē	ce	tsē
cé	ㄘㄜˊ	t͡sʰɤ˧˥	ts'e²	tser	tser	tsé	cé	tsé
cě	ㄘㄜˇ	t͡sʰɤ˨˩˦	ts'e³	tsee	tsee	tsě	cě	tsě
cè	ㄘㄜˋ	t͡sʰɤ˥˩	ts'e⁴	tseh	tseh	tsè	cè	tsè
ce	˙ㄘㄜ	t͡sʰɤ	ts'e⁵	.tse	'tse	tse	ce̊	tse
cēn	ㄘㄣ	t͡sʰən˥	ts'en¹	tsen	tsen	tsēn	cen	tsēn
cén	ㄘㄣˊ	t͡sʰən˧˥	ts'en²	tsern	tsern	tsén	cén	tsén
cěn	ㄘㄣˇ	t͡sʰən˨˩˦	ts'en³	tseen	tseen	tsěn	cěn	tsěn
cèn	ㄘㄣˋ	t͡sʰən˥˩	ts'en⁴	tsenn	tsehn	tsèn	cèn	tsèn
cen	˙ㄘㄣ	t͡sʰən	ts'en⁵	.tsen	'tsen	tsen	ce̊n	tsen
cēng	ㄘㄥ	t͡sʰɤŋ˥	ts'eng¹	tseng	tseng	tsēng	ceng	tsēng
céng	ㄘㄥˊ	t͡sʰɤŋ˧˥	ts'eng²	tserng	tserng	tséng	céng	tséng
cěng	ㄘㄥˇ	t͡sʰɤŋ˨˩˦	ts'eng³	tseeng	tseeng	tsěng	cěng	tsěng
cèng	ㄘㄥˋ	t͡sʰɤŋ˥˩	ts'eng⁴	tsenq	tsehng	tsèng	cèng	tsèng
ceng	˙ㄘㄥ	t͡sʰɤŋ	ts'eng⁵	.tseng	'tseng	tseng	ce̊ng	tseng
chā	ㄔㄚ	t͡ʂʰa˥	ch'a¹	cha	cha	chā	cha	chā
chá	ㄔㄚˊ	t͡ʂʰa˧˥	ch'a²	char	char	chá	chá	chá
chǎ	ㄔㄚˇ	t͡ʂʰa˨˩˦	ch'a³	chaa	chaa	chǎ	chǎ	chǎ
chà	ㄔㄚˋ	t͡ʂʰa˥˩	ch'a⁴	chah	chah	chà	chà	chà
cha	˙ㄔㄚ	t͡ʂʰa	ch'a⁵	.cha	'cha	cha	chå	cha
chāi	ㄔㄞ	t͡ʂʰaɪ˥	ch'ai¹	chai	chai	chāi	chai	chāi
chái	ㄔㄞˊ	t͡ʂʰaɪ˧˥	ch'ai²	chair	chair	chái	chái	chái
chǎi	ㄔㄞˇ	t͡ʂʰaɪ˨˩˦	ch'ai³	chae	chaii	chǎi	chǎi	chǎi
chài	ㄔㄞˋ	t͡ʂʰaɪ˥˩	ch'ai⁴	chay	chaih	chài	chài	chài
chai	˙ㄔㄞ	t͡ʂʰaɪ	ch'ai⁵	.chai	'chai	chai	chåi	chai
chān	ㄔㄢ	t͡ʂʰan˥	ch'an¹	chan	chan	chān	chan	chān
chán	ㄔㄢˊ	t͡ʂʰan˧˥	ch'an²	charn	charn	chán	chán	chán
chǎn	ㄔㄢˇ	t͡ʂʰan˨˩˦	ch'an³	chaan	chaan	chǎn	chǎn	chǎn
chàn	ㄔㄢˋ	t͡ʂʰan˥˩	ch'an⁴	chann	chahn	chàn	chàn	chàn
chan	˙ㄔㄢ	t͡ʂʰan	ch'an⁵	.chan	'chan	chan	chån	chan
chāng	ㄔㄤ	t͡ʂʰɑŋ˥	ch'ang¹	chang	chang	chāng	chang	chāng
cháng	ㄔㄤˊ	t͡ʂʰɑŋ˧˥	ch'ang²	charng	charng	cháng	cháng	cháng
chǎng	ㄔㄤˇ	t͡ʂʰɑŋ˨˩˦	ch'ang³	chaang	chaang	chǎng	chǎng	chǎng
chàng	ㄔㄤˋ	t͡ʂʰɑŋ˥˩	ch'ang⁴	chanq	chahng	chàng	chàng	chàng
chang	˙ㄔㄤ	t͡ʂʰɑŋ	ch'ang⁵	.chang	'chang	chang	chång	chang
chāo	ㄔㄠ	t͡ʂʰɑʊ˥	ch'ao¹	chau	chau	chāu	chao	chāu
cháo	ㄔㄠˊ	t͡ʂʰɑʊ˧˥	ch'ao²	chaur	chaur	cháu	cháo	cháu
chǎo	ㄔㄠˇ	t͡ʂʰɑʊ˨˩˦	ch'ao³	chao	chaau	chǎu	chǎo	chǎu
chào	ㄔㄠˋ	t͡ʂʰɑʊ˥˩	ch'ao⁴	chaw	chauh	chàu	chào	chàu
chao	˙ㄔㄠ	t͡ʂʰɑʊ	ch'ao⁵	.chau	'chau	chau	chåo	chau
chē	ㄔㄜ	t͡ʂʰɤ˥	ch'e¹	che	che	chē	che	chē
ché	ㄔㄜˊ	t͡ʂʰɤ˧˥	ch'e²	cher	cher	ché	ché	ché
chě	ㄔㄜˇ	t͡ʂʰɤ˨˩˦	ch'e³	chee	chee	chě	chě	chě
chè	ㄔㄜˋ	t͡ʂʰɤ˥˩	ch'e⁴	cheh	cheh	chè	chè	chè
che	˙ㄔㄜ	t͡ʂʰɤ	ch'e⁵	.che	'che	che	che̊	che
chēn	ㄔㄣ	t͡ʂʰən˥	ch'en¹	chen	chen	chēn	chen	chēn
chén	ㄔㄣˊ	t͡ʂʰən˧˥	ch'en²	chern	chern	chén	chén	chén
chěn	ㄔㄣˇ	t͡ʂʰən˨˩˦	ch'en³	cheen	cheen	chěn	chěn	chěn
chèn	ㄔㄣˋ	t͡ʂʰən˥˩	ch'en⁴	chenn	chehn	chèn	chèn	chèn
chen	˙ㄔㄣ	t͡ʂʰən	ch'en⁵	.chen	'chen	chen	che̊n	chen
chēng	ㄔㄥ	t͡ʂʰɤŋ˥	ch'eng¹	cheng	cheng	chēng	cheng	chēng
chéng	ㄔㄥˊ	t͡ʂʰɤŋ˧˥	ch'eng²	cherng	cherng	chéng	chéng	chéng
chěng	ㄔㄥˇ	t͡ʂʰɤŋ˨˩˦	ch'eng³	cheeng	cheeng	chěng	chěng	chěng
chèng	ㄔㄥˋ	t͡ʂʰɤŋ˥˩	ch'eng⁴	chenq	chehng	chèng	chèng	chèng
cheng	˙ㄔㄥ	t͡ʂʰɤŋ	ch'eng⁵	.cheng	'cheng	cheng	che̊ng	cheng
chī	ㄔ	t͡ʂʰɻ̍˥	ch'ih¹	chy	chy	chr̄	chih	chr̄
chí	ㄔˊ	t͡ʂʰɻ̍˧˥	ch'ih²	chyr	chyr	chŕ	chíh	chŕ
chǐ	ㄔˇ	t͡ʂʰɻ̍˨˩˦	ch'ih³	chyy	chyy	chř	chǐh	chř
chì	ㄔˋ	t͡ʂʰɻ̍˥˩	ch'ih⁴	chyh	chyh	chr̀	chìh	chr̀
chi	˙ㄔ	t͡ʂʰɻ̍	ch'ih⁵	.chy	'chy	chr	chi̊h	chr
chōng	ㄔㄨㄥ	t͡ʂʰʊŋ˥	ch'ung¹	chong	chung	chūng	chong	chūng
chóng	ㄔㄨㄥˊ	t͡ʂʰʊŋ˧˥	ch'ung²	chorng	churng	chúng	chóng	chúng
chǒng	ㄔㄨㄥˇ	t͡ʂʰʊŋ˨˩˦	ch'ung³	choong	chuung	chǔng	chǒng	chǔng
chòng	ㄔㄨㄥˋ	t͡ʂʰʊŋ˥˩	ch'ung⁴	chonq	chuhng	chùng	chòng	chùng
chong	˙ㄔㄨㄥ	t͡ʂʰʊŋ	ch'ung⁵	.chong	'chong	chung	cho̊ng	chung
chōu	ㄔㄡ	t͡ʂʰoʊ˥	ch'ou¹	chou	chou	chōu	chou	chōu
chóu	ㄔㄡˊ	t͡ʂʰoʊ˧˥	ch'ou²	chour	chour	chóu	chóu	chóu
chǒu	ㄔㄡˇ	t͡ʂʰoʊ˨˩˦	ch'ou³	choou	choou	chǒu	chǒu	chǒu
chòu	ㄔㄡˋ	t͡ʂʰoʊ˥˩	ch'ou⁴	chow	chouh	chòu	chòu	chòu
chou	˙ㄔㄡ	t͡ʂʰoʊ	ch'ou⁵	.chou	'chou	chou	cho̊u	chou
chū	ㄔㄨ	t͡ʂʰu˥	ch'u¹	chu	chu	chū	chu	chū
chú	ㄔㄨˊ	t͡ʂʰu˧˥	ch'u²	chwu	chur	chú	chú	chú
chǔ	ㄔㄨˇ	t͡ʂʰu˨˩˦	ch'u³	chuu	chuu	chǔ	chǔ	chǔ
chù	ㄔㄨˋ	t͡ʂʰu˥˩	ch'u⁴	chuh	chuh	chù	chù	chù
chu	˙ㄔㄨ	t͡ʂʰu	ch'u⁵	.chu	'chu	chu	chů	chu
chuā	ㄔㄨㄚ	t͡ʂʰua˥	ch'ua¹	chua	chua	chuā	chua	chwā
chuá	ㄔㄨㄚˊ	t͡ʂʰua˧˥	ch'ua²	chwa	chuar	chuá	chuá	chwá
chuǎ	ㄔㄨㄚˇ	t͡ʂʰua˨˩˦	ch'ua³	choa	chuaa	chuǎ	chuǎ	chwǎ
chuà	ㄔㄨㄚˋ	t͡ʂʰua˥˩	ch'ua⁴	chuah	chuah	chuà	chuà	chwà
chua	˙ㄔㄨㄚ	t͡ʂʰua	ch'ua⁵	.chua	'chua	chua	chuå	chwa
chuāi	ㄔㄨㄞ	t͡ʂʰwaɪ˥	ch'uai¹	chuai	chuai	chuāi	chuai	chwāi
chuái	ㄔㄨㄞˊ	t͡ʂʰwaɪ˧˥	ch'uai²	chwai	chuair	chuái	chuái	chwái
chuǎi	ㄔㄨㄞˇ	t͡ʂʰwaɪ˨˩˦	ch'uai³	choai	chuaii	chuǎi	chuǎi	chwǎi
chuài	ㄔㄨㄞˋ	t͡ʂʰwaɪ˥˩	ch'uai⁴	chuay	chuaih	chuài	chuài	chwài
chuai	˙ㄔㄨㄞ	t͡ʂʰwaɪ	ch'uai⁵	.chuai	'chuai	chuai	chuåi	chwai
chuān	ㄔㄨㄢ	t͡ʂʰwan˥	ch'uan¹	chuan	chuan	chuān	chuan	chwān
chuán	ㄔㄨㄢˊ	t͡ʂʰwan˧˥	ch'uan²	chwan	chuarn	chuán	chuán	chwán
chuǎn	ㄔㄨㄢˇ	t͡ʂʰwan˨˩˦	ch'uan³	choan	chuaan	chuǎn	chuǎn	chwǎn
chuàn	ㄔㄨㄢˋ	t͡ʂʰwan˥˩	ch'uan⁴	chuann	chuahn	chuàn	chuàn	chwàn
chuan	˙ㄔㄨㄢ	t͡ʂʰwan	ch'uan⁵	.chuan	'chuan	chuan	chuån	chwan
chuāng	ㄔㄨㄤ	t͡ʂʰwɑŋ˥	ch'uang¹	chuang	chuang	chuāng	chuang	chwāng
chuáng	ㄔㄨㄤˊ	t͡ʂʰwɑŋ˧˥	ch'uang²	chwang	chuarng	chuáng	chuáng	chwáng
chuǎng	ㄔㄨㄤˇ	t͡ʂʰwɑŋ˨˩˦	ch'uang³	choang	chuaang	chuǎng	chuǎng	chwǎng
chuàng	ㄔㄨㄤˋ	t͡ʂʰwɑŋ˥˩	ch'uang⁴	chuanq	chuahng	chuàng	chuàng	chwàng
chuang	˙ㄔㄨㄤ	t͡ʂʰwɑŋ	ch'uang⁵	.chuang	'chuang	chuang	chuång	chwang
chuī	ㄔㄨㄟ	t͡ʂʰweɪ˥	ch'ui¹	chuei	chui	chuēi	chuei	chwēi
chuí	ㄔㄨㄟˊ	t͡ʂʰweɪ˧˥	ch'ui²	chwei	chuir	chuéi	chuéi	chwéi
chuǐ	ㄔㄨㄟˇ	t͡ʂʰweɪ˨˩˦	ch'ui³	choei	chuii	chuěi	chuěi	chwěi
chuì	ㄔㄨㄟˋ	t͡ʂʰweɪ˥˩	ch'ui⁴	chuey	chuih	chuèi	chuèi	chwèi
chui	˙ㄔㄨㄟ	t͡ʂʰweɪ	ch'ui⁵	.chuei	'chui	chuei	chue̊i	chwei
chūn	ㄔㄨㄣ	t͡ʂʰwən˥	ch'un¹	chuen	chun	chuēn	chun	chwēn
chún	ㄔㄨㄣˊ	t͡ʂʰwən˧˥	ch'un²	chwen	churn	chuén	chún	chwén
chǔn	ㄔㄨㄣˇ	t͡ʂʰwən˨˩˦	ch'un³	choen	chuun	chuěn	chǔn	chwěn
chùn	ㄔㄨㄣˋ	t͡ʂʰwən˥˩	ch'un⁴	chuenn	chuhn	chuèn	chùn	chwèn
chun	˙ㄔㄨㄣ	t͡ʂʰwən	ch'un⁵	.chuen	'chun	chuen	chůn	chwen
chuō	ㄔㄨㄛ	t͡ʂʰwo˥	ch'o¹	chuo	chuo	chuō	chuo	chwō
chuó	ㄔㄨㄛˊ	t͡ʂʰwo˧˥	ch'o²	chwo	chuor	chuó	chuó	chwó
chuǒ	ㄔㄨㄛˇ	t͡ʂʰwo˨˩˦	ch'o³	chuoo	chuoo	chuǒ	chuǒ	chwǒ
chuò	ㄔㄨㄛˋ	t͡ʂʰwo˥˩	ch'o⁴	chuoh	chuoh	chuò	chuò	chwò
chuo	˙ㄔㄨㄛ	t͡ʂʰwo	ch'o⁵	.chuo	'chuo	chuo	chuo̊	chwo
cī	ㄘ	t͡sʰɹ̩˥	tz'u¹	tsy	tsy	tsz̀	cih	tsz̄
cí	ㄘˊ	t͡sʰɹ̩˧˥	tz'u²	tsyr	tsyr	tsź	cíh	tsź
cǐ	ㄘˇ	t͡sʰɹ̩˨˩˦	tz'u³	tsyy	tsyy	tsž	cǐh	tsž
cì	ㄘˋ	t͡sʰɹ̩˥˩	tz'u⁴	tsyh	tsyh	tsz̄	cìh	tsz̀
ci	˙ㄘ	t͡sʰɹ̩	tz'u⁵	.tsy	'tsy	tsz	ci̊h	tsz
cōng	ㄘㄨㄥ	t͡sʰʊŋ˥	ts'ung¹	tsong	tsung	tsūng	cong	tsūng
cóng	ㄘㄨㄥˊ	t͡sʰʊŋ˧˥	ts'ung²	tsorng	tsurng	tsúng	cóng	tsúng
cǒng	ㄘㄨㄥˇ	t͡sʰʊŋ˨˩˦	ts'ung³	tsoong	tsuung	tsǔng	cǒng	tsǔng
còng	ㄘㄨㄥˋ	t͡sʰʊŋ˥˩	ts'ung⁴	tsonq	tsuhng	tsùng	còng	tsùng
cong	˙ㄘㄨㄥ	t͡sʰʊŋ	ts'ung⁵	.tsong	'tsong	tsung	co̊ng	tsung
cōu	ㄘㄡ	t͡sʰoʊ˥	ts'ou¹	tsou	tsou	tsōu	cou	tsōu
cóu	ㄘㄡˊ	t͡sʰoʊ˧˥	ts'ou²	tsour	tsour	tsóu	cóu	tsóu
cǒu	ㄘㄡˇ	t͡sʰoʊ˨˩˦	ts'ou³	tsoou	tsoou	tsǒu	cǒu	tsǒu
còu	ㄘㄡˋ	t͡sʰoʊ˥˩	ts'ou⁴	tsow	tsouh	tsòu	còu	tsòu
cou	˙ㄘㄡ	t͡sʰoʊ	ts'ou⁵	.tsou	'tsou	tsou	co̊u	tsou
cū	ㄘㄨ	t͡sʰu˥	ts'u¹	tsu	tsu	tsū	cu	tsū
cú	ㄘㄨˊ	t͡sʰu˧˥	ts'u²	tswu	tsur	tsú	cú	tsú
cǔ	ㄘㄨˇ	t͡sʰu˨˩˦	ts'u³	tsuu	tsuu	tsǔ	cǔ	tsǔ
cù	ㄘㄨˋ	t͡sʰu˥˩	ts'u⁴	tsuh	tsuh	tsù	cù	tsù
cu	˙ㄘㄨ	t͡sʰu	ts'u⁵	.tsu	'tsu	tsu	ců	tsu
cuān	ㄘㄨㄢ	t͡sʰwan˥	ts'uan¹	tsuan	tsuan	tsuān	cuan	tswān
cuán	ㄘㄨㄢˊ	t͡sʰwan˧˥	ts'uan²	tswan	tsuarn	tsuán	cuán	tswán
cuǎn	ㄘㄨㄢˇ	t͡sʰwan˨˩˦	ts'uan³	tsoan	tsuaan	tsuǎn	cuǎn	tswǎn
cuàn	ㄘㄨㄢˋ	t͡sʰwan˥˩	ts'uan⁴	tsuann	tsuahn	tsuàn	cuàn	tswàn
cuan	˙ㄘㄨㄢ	t͡sʰwan	ts'uan⁵	.tsuan	'tsuan	tsuan	cuån	tswan
